"";"zupanija_id";"rbr";"naziv_jls";"ukupni_prihodi_i_primici";"visak_prihoda_i_primitaka_preneseni";"manjak_prihoda_i_primitaka_preneseni";"ukupni_proracun_za_godinu";"porez_na_dobitke_od_igara_na_srecu";"pomoci_iz_inozemstva_i_od_subjekata_unutar_opce_drzave";"prihodi_od_imovine";"prihodi_od_administrativnih_pristojbi_i_po_posebnim_propisima";"ostali_prihodi";"primici_od_financijske_imovine_i_zaduzivanja";"decentralizacija";"zajednicki_kapit_proj_otoci";"ukupni_proracun_umanjen_za_decentralizaciju_vlastite_i_namjenske_prihode_te_primitke_od_zaduzivanja";"godina";"vrsta_jedinice";"zupanija";"oznaka_grop";"maticni_broj"
"32";1;32;"STUPNIK";20995140;4425953;0;25421093;0;4059186;305063;8089179;113580;0;0;0;12854085;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"05517"
"33";1;33;"ŽUMBERAK";2085130;363154;0;2448284;0;800160;54677;268616;25200;0;0;0;1299631;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"05401"
"34";2;1;"DONJA STUBICA";14595615;0;224223;14371392;0;5008681;343418;2124497;0;46200;402898;0;6445698;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"00795"
"35";2;2;"KLANJEC";5743023;0;169592;5573431;0;597918;152110;977566;0;0;219569;0;3626268;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"01872"
"36";2;3;"KRAPINA";36010994;2558156;0;38569150;0;4395572;1053341;4255221;1745556;0;4247115;0;22872345;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"02119"
"37";2;4;"OROSLAVJE";13431142;0;617993;12813149;0;438059;493527;2342275;29009;0;424925;0;9085354;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"03115"
"38";2;5;"PREGRADA";13898133;0;761386;13136747;0;474928;653220;1633284;85089;2500000;486747;0;7303479;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"03522"
"39";2;6;"ZABOK";45632172;915491;0;46547663;0;2972485;493246;9174515;1381;10530182;636678;0;22739176;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"05193"
"40";2;7;"ZLATAR";12726090;1771872;0;14497962;0;3078185;370541;2468859;0;0;441980;0;8138397;2016;"grop";"KRAPINSKO-ZAGORSKA";"GRAD";"05266"
"41";2;8;"BEDEKOVÈINA";11861904;392958;0;12254862;0;796689;202675;3245140;149193;0;576279;0;7284886;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"00116"
"42";2;9;"BUDINŠÈINA";5267551;0;454388;4813163;0;1388022;82009;685892;0;1143061;189724;0;1324455;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"00418"
"43";2;10;"DESINIÆ";5157492;0;247423;4910069;0;1895679;81438;471070;0;0;236622;0;2225260;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"00701"
"44";2;11;"ÐURMANEC";6749621;755685;0;7505306;0;971206;89548;464706;0;0;0;0;5979846;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"01082"
"45";2;12;"GORNJA STUBICA";10606893;0;515926;10090967;0;3162699;220538;1496302;0;0;389397;0;4822031;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"01252"
"46";2;13;"HRAŠÆINA";2480710;107226;0;2587936;0;219147;31428;361657;0;0;124351;0;1851353;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"01465"
"47";2;14;"HUM NA SUTLI";13108926;741083;0;13850009;0;493847;138437;2094475;0;0;0;0;11123250;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"01520"
"48";2;15;"JESENJE";2896541;310640;0;3207181;0;616101;231667;812046;0;0;0;0;1547367;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"05525"
"49";2;16;"KONJŠÈINA";8053353;0;788817;7264536;0;1593315;198610;873564;142099;111043;277125;0;4068780;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02003"
"50";2;17;"KRALJEVEC NA SUTLI";2711079;0;313406;2397673;0;867701;2994;410559;0;0;123641;0;992778;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02089"
"51";2;18;"KRAPINSKE TOPLICE";11398048;0;871693;10526355;0;522451;135852;2311827;0;0;390108;0;7166117;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02127"
"52";2;19;"KUMROVEC";2728067;0;687104;2040963;0;196416;80676;553856;24380;150000;125772;0;909863;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"05533"
"53";2;20;"LOBOR";5872903;0;401028;5471875;0;2565830;63506;537598;100650;0;0;0;2204291;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02364"
"54";2;21;"MAÈE";3201029;109008;0;3310037;0;595717;59584;661870;61100;0;197541;0;1734225;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02488"
"55";2;22;"MARIJA BISTRICA";13769936;0;1376509;12393427;0;849409;2639370;1551994;1222787;0;449085;0;5680782;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02569"
"56";2;23;"MIHOVLJAN";3909334;332546;0;4241880;0;1361763;91487;513184;0;0;0;0;2275446;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"02658"
"57";2;24;"NOVI GOLUBOVEC";2045636;43439;0;2089075;0;335081;138676;677495;0;0;0;0;937823;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"05541"
"58";2;25;"PETROVSKO";5463404;0;457829;5005575;0;1549691;75613;406918;0;0;0;0;2973353;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"03298"
"59";2;26;"RADOBOJ";6148804;0;1025834;5122970;0;1366536;37280;872723;0;0;0;0;2846431;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"03646"
"60";2;27;"STUBIÈKE TOPLICE";8914282;0;1110140;7804142;0;1367992;254855;952747;232407;0;186882;0;4809259;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"04227"
"61";2;28;"SVETI KRIŽ ZAÈRETJE";9795458;0;1300248;8495210;0;168042;169225;2148008;0;0;449796;0;5560139;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"04308"
"62";2;29;"TUHELJ";4601186;0;812989;3788197;0;139820;27158;1127039;0;390876;148511;0;1954793;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"04669"
"63";2;30;"VELIKO TRGOVIŠÆE";9463038;0;1106482;8356556;0;464575;180031;2221200;217879;0;354579;0;4918292;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"04812"
"64";2;31;"ZAGORSKA SELA";2338749;0;282151;2056598;0;833265;70947;528297;0;0;81006;0;543083;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"05215"
"65";2;32;"ZLATAR BISTRICA";4855607;773197;0;5628804;0;104220;232353;940317;1500;0;192567;0;4157847;2016;"grop";"KRAPINSKO-ZAGORSKA";"OPÆINA";"05274"
"66";3;1;"GLINA";33090349;10580009;0;43670358;0;20980684;1005645;5097165;57500;0;0;0;16529364;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"01210"
"67";3;2;"HRVATSKA KOSTAJNICA";9693975;0;5843700;3850275;0;5270277;270893;830584;0;732049;0;0;-3253528;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"01503"
"68";3;3;"KUTINA";72971895;0;3748322;69223573;0;3651677;4162739;22743254;326251;3550000;8425489;0;26364163;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"02208"
